RK,TIERS,PLAYER NAME,TEAM,POS#,POS,BYE WEEK,SOS SEASON,ECR VS. ADP,AVG. POINTS ,% GAMES 
103,8,Christian Watson,GB,WR46,WR,10,4,-6,0.3,55% (5/9)
104,8,Brock Bowers,LV,TE11,TE,10,4,-10,-,-
105,8,Dallas Goedert,PHI,TE12,TE,5,4,0,0.2,30% (4/13)
106,8,Kirk Cousins,ATL,QB17,QB,12,3,35,1.5,62% (5/8)
107,8,Austin Ekeler,WAS,RB32,RB,14,3,-22,-3.6,38% (5/13)
108,8,Justin Herbert,LAC,QB18,QB,5,2,22,-0.4,61% (8/13)
109,8,Brian Thomas Jr.,JAC,WR47,WR,12,4,12,-,-
110,8,Chase Brown,CIN,RB33,RB,12,3,5,1.3,40% (4/10)
111,8,Zack Moss,CIN,RB34,RB,12,3,-22,2,46% (6/13)
112,8,Jonathon Brooks,CAR,RB35,RB,11,4,-26,-,-
113,8,Tyler Lockett,SEA,WR48,WR,10,3,22,-1.4,37% (6/16)
114,8,Matthew Stafford,LAR,QB19,QB,6,4,35,1.7,60% (9/15)
115,8,Pat Freiermuth,PIT,TE13,TE,9,3,17,-1.4,27% (3/11)
116,8,Jakobi Meyers,LV,WR49,WR,10,3,28,1.7,53% (8/15)
117,8,Dalton Schultz,HOU,TE14,TE,14,2,8,0.7,50% (7/14)
118,8,Jerome Ford,CLE,RB36,RB,10,4,-2,1.9,43% (7/16)
119,8,Jameson Williams,DET,WR50,WR,5,4,-1,1.2,58% (7/12)
120,8,Aaron Rodgers,NYJ,QB20,QB,12,2,17,-16,0% (0/1)
121,8,Keon Coleman,BUF,WR51,WR,12,2,-19,-,-
122,8,Deshaun Watson,CLE,QB21,QB,10,4,34,-1.5,66% (4/6)
123,8,Gus Edwards,LAC,RB37,RB,5,4,-12,2.6,56% (9/16)
124,8,Joshua Palmer,LAC,WR52,WR,5,3,29,1.3,33% (3/9)
125,8,Ezekiel Elliott,DAL,RB38,RB,7,3,-18,0.4,46% (7/15)
126,9,Nick Chubb,CLE,RB39,RB,10,4,-38,-5.1,0% (0/2)
127,9,Curtis Samuel,BUF,WR53,WR,12,2,9,0.9,53% (8/15)
128,9,T.J. Hockenson,MIN,TE15,TE,6,2,-9,0.9,40% (6/15)
129,9,Romeo Doubs,GB,WR54,WR,10,4,11,0.9,56% (9/16)
130,9,Geno Smith,SEA,QB22,QB,10,3,55,-1.3,40% (6/15)
131,9,Zach Charbonnet,SEA,RB40,RB,10,4,7,-1.1,40% (6/15)
132,9,Baker Mayfield,TB,QB23,QB,11,2,26,2.2,68% (11/16)
133,9,Rashid Shaheed,NO,WR55,WR,12,3,39,1.7,35% (5/14)
134,9,Khalil Shakir,BUF,WR56,WR,12,2,-5,1.6,50% (8/16)
135,9,Brandin Cooks,DAL,WR57,WR,7,3,25,0.7,46% (7/15)
